交易额,订单量,毛利率,占总毛利润比
3385.1,756,1015.53,0.17923099731029077
3681.2,869,1104.36,0.19490861342313148
3729.4,789,1118.82,0.19746066035538046
2392.1,564,717.63,0.1266545947434187
5699.0,1292,1709.7,0.30174513416777854
